"X" "analfabeta" "sin_primaria" "sin_drenaje" "sin_electricidad" "sin_agua_entubada" "con_hacinamiento" "con_piso_tierra" "habitantes_5000" "salarios_minimos" "CVE_MUN" "NOM_MUN" "CVE"
"1304" "306 San Pedro el Alto" 29.38 56.19 1.1 8.67 26.3 74.87 22.17 100 72.63 306 "San Pedro el Alto" "20306"
"1305" "307 San Pedro Huamelula" 17.24 33.62 10.2 5.35 16.97 46.05 11.46 100 62.05 307 "San Pedro Huamelula" "20307"
"1306" "308 San Pedro Huilotepec" 14.17 29.94 10.14 3.75 0.64 58.81 31.79 100 43.37 308 "San Pedro Huilotepec" "20308"
"1307" "309 San Pedro Ixcatlán" 27.47 47.11 4.23 7.41 43.64 63.43 17.03 100 80.61 309 "San Pedro Ixcatlán" "20309"
"1308" "310 San Pedro Ixtlahuaca" 9.65 25.33 2.85 9.52 45.26 52.56 16.52 100 44.07 310 "San Pedro Ixtlahuaca" "20310"
"1309" "311 San Pedro Jaltepetongo" 38.81 53.27 0.44 1.54 3.51 24.64 25.11 100 80 311 "San Pedro Jaltepetongo" "20311"
"1310" "312 San Pedro Jicayán" 23.53 38.96 8.51 5.06 86.02 61.56 40.8 100 75.34 312 "San Pedro Jicayán" "20312"
"1311" "313 San Pedro Jocotipac" 39.14 52.08 0 3.25 2.65 39.58 28.21 100 95.58 313 "San Pedro Jocotipac" "20313"
"1312" "314 San Pedro Juchatengo" 11.75 36.91 2.54 2.19 2.42 45.82 15.28 100 69.79 314 "San Pedro Juchatengo" "20314"
"1313" "315 San Pedro Mártir" 18.2 45.33 7.55 1.14 97.89 45.02 77.39 100 87.57 315 "San Pedro Mártir" "20315"
"1314" "316 San Pedro Mártir Quiechapa" 7.8 39.38 2.69 5.68 0.81 51.89 25.87 100 85 316 "San Pedro Mártir Quiechapa" "20316"
"1315" "317 San Pedro Mártir Yucuxaco" 10.19 32.17 2.72 6.3 34.6 43.32 30.52 100 69.4 317 "San Pedro Mártir Yucuxaco" "20317"
"1316" "318 San Pedro Mixtepec -Dto. 22 -" 11.44 27.43 3.31 2.88 7.05 46.59 9.69 26.91 42.62 318 "San Pedro Mixtepec -Dto. 22 -" "20318"
"1317" "319 San Pedro Mixtepec -Dto. 26 -" 19.84 41.84 13.74 5.46 1.09 57.19 30.85 100 83.19 319 "San Pedro Mixtepec -Dto. 26 -" "20319"
"1318" "320 San Pedro Molinos" 22.09 39.88 1.26 2.66 4.08 37.31 31.88 100 57.14 320 "San Pedro Molinos" "20320"
"1319" "321 San Pedro Nopala" 21.56 47.73 10.95 6.05 24.94 46.43 37.35 100 96.07 321 "San Pedro Nopala" "20321"
"1320" "322 San Pedro Ocopetatillo" 41.07 67.43 0 1.48 36.32 52.84 9.73 100 91.18 322 "San Pedro Ocopetatillo" "20322"
"1321" "323 San Pedro Ocotepec" 22.02 44.83 0.7 9.85 1.08 63.17 39.77 100 91.53 323 "San Pedro Ocotepec" "20323"
"1322" "324 San Pedro Pochutla" 18.24 35.67 4.66 6.64 23.97 56.44 24.1 68.8 56.02 324 "San Pedro Pochutla" "20324"
"1323" "325 San Pedro Quiatoni" 28.34 46.42 3.9 20.69 12.23 62.47 31.88 100 83.13 325 "San Pedro Quiatoni" "20325"
"1324" "326 San Pedro Sochiápam" 27.77 53.67 1.27 4.18 26.29 59.78 8.48 100 91.15 326 "San Pedro Sochiápam" "20326"
"1325" "327 San Pedro Tapanatepec" 16.67 42.16 5.27 5.35 15.08 47 10.58 46.82 61.18 327 "San Pedro Tapanatepec" "20327"
"1326" "328 San Pedro Taviche" 18.45 51.4 3.67 4.44 42.15 70.27 20.48 100 89.6 328 "San Pedro Taviche" "20328"
"1327" "329 San Pedro Teozacoalco" 17.21 38.39 0.38 7.91 15.47 49.46 54.28 100 89.41 329 "San Pedro Teozacoalco" "20329"
"1328" "330 San Pedro Teutila" 19.15 47.22 0.33 8.42 25.3 56.73 27.34 100 87.27 330 "San Pedro Teutila" "20330"
"1329" "331 San Pedro Tidaá" 23.76 51.88 3.13 6.82 0.34 33.98 30.54 100 91.57 331 "San Pedro Tidaá" "20331"
"1330" "332 San Pedro Topiltepec" 10.7 36.79 0.99 0.74 1.49 34.35 20.99 100 84.96 332 "San Pedro Topiltepec" "20332"
"1331" "333 San Pedro Totolápam" 11.7 34.91 3.54 0.9 1.36 38.28 13.17 100 57.36 333 "San Pedro Totolápam" "20333"
"1332" "334 Villa de Tututepec de Melchor Ocampo" 17.1 40.49 5.06 3.03 49.89 51.64 9.33 70.53 63.86 334 "Villa de Tututepec de Melchor Ocampo" "20334"
"1333" "335 San Pedro Yaneri" 12.4 50.33 0.1 3.29 39.32 50.36 55.06 100 95.26 335 "San Pedro Yaneri" "20335"
"1334" "336 San Pedro Yólox" 22.26 48.44 10.63 11.38 8.65 53.2 34.19 100 86.23 336 "San Pedro Yólox" "20336"
"1335" "337 San Pedro y San Pablo Ayutla" 38.84 53.92 7.95 23.97 26.5 43.12 44.63 100 77.71 337 "San Pedro y San Pablo Ayutla" "20337"
"1336" "338 Villa de Etla" 4.16 14.8 0.26 2.26 17.3 38.1 9.82 21.5 33.37 338 "Villa de Etla" "20338"
"1337" "339 San Pedro y San Pablo Teposcolula" 6.11 24.08 1.73 1.9 11.16 43.39 12.53 100 58.16 339 "San Pedro y San Pablo Teposcolula" "20339"
"1338" "340 San Pedro y San Pablo Tequixtepec" 13.74 41.83 8.15 5.96 9.97 31.38 21.54 100 86.49 340 "San Pedro y San Pablo Tequixtepec" "20340"
"1339" "341 San Pedro Yucunama" 6.29 31.45 0.43 4.55 1.72 35.94 9.05 100 73.21 341 "San Pedro Yucunama" "20341"
"1340" "342 San Raymundo Jalpan" 4.95 21.25 1.06 6.59 6.8 40.88 18.39 100 47.97 342 "San Raymundo Jalpan" "20342"
"1341" "343 San Sebastián Abasolo" 5.03 20.03 1.02 0.96 20.83 46.65 25.4 100 72.92 343 "San Sebastián Abasolo" "20343"
"1342" "344 San Sebastián Coatlán" 16.23 46.52 0.15 4.03 21.19 59.5 18.89 100 81.26 344 "San Sebastián Coatlán" "20344"
"1343" "345 San Sebastián Ixcapa" 17.84 37.29 10.69 3.09 37.39 45.2 18.66 100 70.44 345 "San Sebastián Ixcapa" "20345"
"1344" "346 San Sebastián Nicananduta" 22.09 46.44 0.9 0.7 0.07 36.34 27.39 100 80.67 346 "San Sebastián Nicananduta" "20346"
"1345" "347 San Sebastián Río Hondo" 15.87 36.34 0.14 11.24 39.04 72.54 46.17 100 85.03 347 "San Sebastián Río Hondo" "20347"
"1346" "348 San Sebastián Tecomaxtlahuaca" 24.95 47.61 7.53 5.37 10.05 49.07 18.64 100 75.34 348 "San Sebastián Tecomaxtlahuaca" "20348"
"1347" "349 San Sebastián Teitipac" 17.82 42.55 4.47 4.54 66.01 33.4 16.41 100 44.72 349 "San Sebastián Teitipac" "20349"
"1348" "350 San Sebastián Tutla" 1.25 5.78 0.07 0.05 2.78 18.69 3.02 27.92 26.83 350 "San Sebastián Tutla" "20350"
"1349" "351 San Simón Almolongas" 25.72 55.98 3.77 3.02 27.79 41.09 15.48 100 79.49 351 "San Simón Almolongas" "20351"
"1350" "352 San Simón Zahuatlán" 51.86 67.47 19.58 2.35 17.11 81.25 5.69 100 87.82 352 "San Simón Zahuatlán" "20352"
"1351" "353 Santa Ana" 17.45 45.36 1.03 5.02 31.25 49.34 18.26 100 78.92 353 "Santa Ana" "20353"
"1352" "354 Santa Ana Ateixtlahuaca" 39.43 68.77 0.2 31.76 16.47 49.21 34.12 100 91.78 354 "Santa Ana Ateixtlahuaca" "20354"
"1353" "355 Santa Ana Cuauhtémoc" 30.9 56.31 3.93 4.07 21.57 51.71 36.09 100 90.37 355 "Santa Ana Cuauhtémoc" "20355"
"1354" "356 Santa Ana del Valle" 9.77 40.23 12.67 1.16 45.28 42.21 14.21 100 71.72 356 "Santa Ana del Valle" "20356"
"1355" "357 Santa Ana Tavela" 15.01 41.62 2.42 3.63 0.22 38.35 23.68 100 83.01 357 "Santa Ana Tavela" "20357"
"1356" "358 Santa Ana Tlapacoyan" 20.81 48.27 1.84 2.44 25.12 31.75 26.15 100 85.79 358 "Santa Ana Tlapacoyan" "20358"
"1357" "359 Santa Ana Yareni" 21.94 48.74 3.34 0.37 0 24.3 38.79 100 72.86 359 "Santa Ana Yareni" "20359"
"1358" "360 Santa Ana Zegache" 18.1 37.21 2.95 2.13 30.31 45.52 43.5 100 76.46 360 "Santa Ana Zegache" "20360"
"1359" "361 Santa Catalina Quierí" 15.7 53.03 1.11 3.92 0.44 58.02 32.41 100 89.26 361 "Santa Catalina Quierí" "20361"
"1360" "362 Santa Catarina Cuixtla" 15.41 46.45 0.49 1.28 7.3 40.32 29.53 100 74.76 362 "Santa Catarina Cuixtla" "20362"
"1361" "363 Santa Catarina Ixtepeji" 4.15 28.88 0.3 1.41 5.24 49.02 26.24 100 71.86 363 "Santa Catarina Ixtepeji" "20363"
"1362" "364 Santa Catarina Juquila" 22.78 42.38 0.9 3.16 32.76 61.87 31.07 57.72 53.5 364 "Santa Catarina Juquila" "20364"
"1363" "365 Santa Catarina Lachatao" 5.16 20.32 1.07 3.99 4.68 39.34 42.09 100 87.07 365 "Santa Catarina Lachatao" "20365"
"1364" "366 Santa Catarina Loxicha" 21.12 43.96 1.46 16.76 67.5 67.2 33.95 100 81.52 366 "Santa Catarina Loxicha" "20366"
"1365" "367 Santa Catarina Mechoacán" 25.23 43.01 33.44 5.86 43.5 61.37 16.93 100 81.25 367 "Santa Catarina Mechoacán" "20367"
"1366" "368 Santa Catarina Minas" 15.4 39.43 4.02 1.21 30.4 46.19 19.11 100 65.17 368 "Santa Catarina Minas" "20368"
"1367" "369 Santa Catarina Quiané" 14.02 36.34 1.79 0.92 2.71 30.24 9.54 100 47.78 369 "Santa Catarina Quiané" "20369"
"1368" "370 Santa Catarina Tayata" 7.99 24.98 0.44 2.8 9.02 40.1 35.94 100 79.1 370 "Santa Catarina Tayata" "20370"
"1369" "371 Santa Catarina Ticuá" 27.46 43.08 5.64 12.67 11.91 29.01 30.53 100 83.61 371 "Santa Catarina Ticuá" "20371"
"1370" "372 Santa Catarina Yosonotú" 31.6 45.27 2.77 6.32 44.87 42.89 21.78 100 81.49 372 "Santa Catarina Yosonotú" "20372"
"1371" "373 Santa Catarina Zapoquila" 21.32 48.05 9.6 4.69 3.13 40.15 24.78 100 97.89 373 "Santa Catarina Zapoquila" "20373"
"1372" "374 Santa Cruz Acatepec" 37.63 54.42 1.16 13.69 45.7 61.88 29.17 100 88.32 374 "Santa Cruz Acatepec" "20374"
"1373" "375 Santa Cruz Amilpas" 3.52 11.99 0.35 1.21 31.42 34.85 11.73 0 30.82 375 "Santa Cruz Amilpas" "20375"
"1374" "376 Santa Cruz de Bravo" 29.46 50.78 5.77 3.02 0 33.03 15.38 100 72.62 376 "Santa Cruz de Bravo" "20376"
"1375" "377 Santa Cruz Itundujia" 15.1 37.26 2.89 22.02 36.32 62.98 48.92 100 84.2 377 "Santa Cruz Itundujia" "20377"
"1376" "378 Santa Cruz Mixtepec" 12.82 35.62 3.72 2.78 22.48 47.4 21.55 100 80.05 378 "Santa Cruz Mixtepec" "20378"
"1377" "379 Santa Cruz Nundaco" 20.24 38.13 2.06 3.52 15.15 55.77 62.38 100 90.08 379 "Santa Cruz Nundaco" "20379"
"1378" "380 Santa Cruz Papalutla" 11.03 35.46 1.12 3.41 18.04 49.53 14.98 100 71.33 380 "Santa Cruz Papalutla" "20380"
"1379" "381 Santa Cruz Tacache de Mina" 15.53 38.51 3.96 0.46 0 31.61 3.85 100 76.9 381 "Santa Cruz Tacache de Mina" "20381"
"1380" "382 Santa Cruz Tacahua" 22.78 33.04 3.16 26.5 25.64 57.96 45.73 100 90.95 382 "Santa Cruz Tacahua" "20382"
"1381" "383 Santa Cruz Tayata" 5.84 26.64 0.99 3.97 4.3 53.59 46.01 100 58.29 383 "Santa Cruz Tayata" "20383"
"1382" "384 Santa Cruz Xitla" 25.3 57.61 1.15 1.28 25.55 53.25 16.51 100 90.28 384 "Santa Cruz Xitla" "20384"
"1383" "385 Santa Cruz Xoxocotlán" 5.23 14.98 0.36 3.06 34.87 34.9 11.16 13.81 27.09 385 "Santa Cruz Xoxocotlán" "20385"
"1384" "386 Santa Cruz Zenzontepec" 34.61 57.26 0.51 7.04 71.11 67.79 25.26 100 87.09 386 "Santa Cruz Zenzontepec" "20386"
"1385" "387 Santa Gertrudis" 17.8 40.41 6.96 1.64 13.86 35.19 13.21 100 69.94 387 "Santa Gertrudis" "20387"
"1386" "388 Santa Inés del Monte" 22.06 42.88 8.72 11.03 81.29 67.7 15.11 100 86.47 388 "Santa Inés del Monte" "20388"
"1387" "389 Santa Inés Yatzeche" 35.38 61.91 3.7 0.77 2.28 47.87 30.65 100 85.03 389 "Santa Inés Yatzeche" "20389"
"1388" "390 Santa Lucía del Camino" 3.85 11.87 0.09 0.13 9.06 30.38 4.64 7.04 26.28 390 "Santa Lucía del Camino" "20390"
"1389" "391 Santa Lucía Miahuatlán" 39.7 64.92 5.69 13.38 26.82 78.89 48.15 100 92.9 391 "Santa Lucía Miahuatlán" "20391"
"1390" "392 Santa Lucía Monteverde" 25.9 42.88 3.21 17.13 67.17 60.34 37.62 100 84.77 392 "Santa Lucía Monteverde" "20392"
"1391" "393 Santa Lucía Ocotlán" 23.17 49.48 1.78 0.95 19 55.74 28.03 100 55.06 393 "Santa Lucía Ocotlán" "20393"
"1392" "394 Santa María Alotepec" 22.06 38.75 1.3 2.86 12.29 44.17 13.42 100 85.75 394 "Santa María Alotepec" "20394"
"1393" "395 Santa María Apazco" 44.7 58.47 8.03 14.9 33.84 43.21 30.73 100 88.14 395 "Santa María Apazco" "20395"
"1394" "396 Santa María la Asunción" 58.54 73.57 3.62 6.17 27.26 58.03 23.87 100 84.75 396 "Santa María la Asunción" "20396"
"1395" "397 Heroica Ciudad de Tlaxiaco" 10.36 21.38 1.39 2.53 34.21 47.22 25.51 54.38 47.74 397 "Heroica Ciudad de Tlaxiaco" "20397"
"1396" "398 Ayoquezco de Aldama" 24.15 49.58 2.03 2.54 11.08 40.05 19.54 100 75.87 398 "Ayoquezco de Aldama" "20398"
"1397" "399 Santa María Atzompa" 6.5 17.36 0.85 2.63 27.41 42.53 13.02 20.67 37.89 399 "Santa María Atzompa" "20399"
"1398" "400 Santa María Camotlán" 19.39 38.8 7.78 3.31 4.35 35.88 4.78 100 68.32 400 "Santa María Camotlán" "20400"
"1399" "401 Santa María Colotepec" 12.82 30.36 3.1 4.15 25.79 56.04 8.7 56.69 45.54 401 "Santa María Colotepec" "20401"
"1400" "402 Santa María Cortijo" 19.69 38.01 16.13 4.55 1.76 43.13 15.01 100 73.27 402 "Santa María Cortijo" "20402"
"1401" "403 Santa María Coyotepec" 5.41 18.58 0.29 4.28 12.66 40.24 8.28 100 29.83 403 "Santa María Coyotepec" "20403"
"1402" "404 Santa María Chachoápam" 6.65 30.82 0.92 2.62 4.99 34.76 12.86 100 63.32 404 "Santa María Chachoápam" "20404"
"1403" "405 Villa de Chilapa de Díaz" 14.31 41.23 4.3 2.76 1.56 39.54 26.02 100 70.8 405 "Villa de Chilapa de Díaz" "20405"
"1404" "406 Santa María Chilchotla" 37.31 60.15 1.55 15.34 92.35 60.59 41.63 100 88.76 406 "Santa María Chilchotla" "20406"
"1405" "407 Santa María Chimalapa" 24.74 53.22 5 10.02 39.37 55 19.82 100 84.5 407 "Santa María Chimalapa" "20407"
"1406" "408 Santa María del Rosario" 9.14 27.99 3.54 2.75 28.13 46.62 38.13 100 72.48 408 "Santa María del Rosario" "20408"
"1407" "409 Santa María del Tule" 2.91 10.72 0.17 1.18 6.47 23.45 4.49 6.48 28.44 409 "Santa María del Tule" "20409"
"1408" "410 Santa María Ecatepec" 10.28 32.32 2.83 3.56 19.32 44.41 17.4 100 88.61 410 "Santa María Ecatepec" "20410"
"1409" "411 Santa María Guelacé" 5.9 23.99 2.7 0.98 12.38 37.97 6.86 100 65.53 411 "Santa María Guelacé" "20411"
"1410" "412 Santa María Guienagati" 20.1 48.7 15.46 24.28 11.08 61.45 21.87 100 81.61 412 "Santa María Guienagati" "20412"
"1411" "413 Santa María Huatulco" 10.7 23.6 1.16 2.55 13.68 47.44 11.49 41.65 40.49 413 "Santa María Huatulco" "20413"
"1412" "414 Santa María Huazolotitlán" 22.38 39.89 10.84 1.86 50.43 42.83 8.9 100 71.73 414 "Santa María Huazolotitlán" "20414"
"1413" "415 Santa María Ipalapa" 23.17 47.09 3.34 4.05 2.99 46.38 11.17 100 75.09 415 "Santa María Ipalapa" "20415"
"1414" "416 Santa María Ixcatlán" 21.59 47.6 0.58 6.01 12.79 37.93 38.18 100 96.17 416 "Santa María Ixcatlán" "20416"
"1415" "417 Santa María Jacatepec" 21.12 40.89 2.89 4.88 15.25 40.32 20.29 100 77.88 417 "Santa María Jacatepec" "20417"
"1416" "418 Santa María Jalapa del Marqués" 13.99 30.7 5.58 5.07 3.08 45.28 17.04 24.33 62.7 418 "Santa María Jalapa del Marqués" "20418"
"1417" "419 Santa María Jaltianguis" 4.01 15.06 0 0.52 1.91 33.33 22.97 100 73.06 419 "Santa María Jaltianguis" "20419"
"1418" "420 Santa María Lachixío" 27.05 41.56 4.3 5.69 0 60.23 26.03 100 90.93 420 "Santa María Lachixío" "20420"
"1419" "421 Santa María Mixtequilla" 12.34 28.99 5.46 3.12 5.44 44.34 25.46 100 55.77 421 "Santa María Mixtequilla" "20421"
"1420" "422 Santa María Nativitas" 15.94 35.68 4.12 4.56 12.79 44.78 17.99 100 81.48 422 "Santa María Nativitas" "20422"
"1421" "423 Santa María Nduayaco" 12.26 46.46 7.31 9.45 7.82 43.45 41.61 100 80.63 423 "Santa María Nduayaco" "20423"
"1422" "424 Santa María Ozolotepec" 24.7 49.09 1.21 6.17 18.65 67.02 39.23 100 81.82 424 "Santa María Ozolotepec" "20424"
"1423" "425 Santa María Pápalo" 20.54 48.61 0.54 3.85 17.58 55.82 42.22 100 96.25 425 "Santa María Pápalo" "20425"
"1424" "426 Santa María Peñoles" 24.78 42.89 1.72 15.81 70.28 69.1 25.62 100 89.3 426 "Santa María Peñoles" "20426"
"1425" "427 Santa María Petapa" 14.89 33.71 5.04 3.31 26.69 45.15 8.22 100 65.56 427 "Santa María Petapa" "20427"
"1426" "428 Santa María Quiegolani" 31.3 46.44 7.51 5.09 0.74 60.61 36.13 100 88.91 428 "Santa María Quiegolani" "20428"
"1427" "429 Santa María Sola" 25.02 47.37 5.51 4.4 23.69 43.16 41.73 100 90.17 429 "Santa María Sola" "20429"
"1428" "430 Santa María Tataltepec" 27.64 47.74 3.17 1.59 1.59 34.52 24.21 100 88.54 430 "Santa María Tataltepec" "20430"
"1429" "431 Santa María Tecomavaca" 11.38 27.24 2.6 0.17 11.29 43.75 20.61 100 76.69 431 "Santa María Tecomavaca" "20431"
"1430" "432 Santa María Temaxcalapa" 16.33 39.05 0 0.1 0 32.52 23.04 100 91.12 432 "Santa María Temaxcalapa" "20432"
"1431" "433 Santa María Temaxcaltepec" 40.61 62.59 1.76 8.31 25.41 61.65 24.7 100 82.53 433 "Santa María Temaxcaltepec" "20433"
"1432" "434 Santa María Teopoxco" 33.91 53.74 1.7 2.24 39.25 62.38 10.81 100 78.62 434 "Santa María Teopoxco" "20434"
"1433" "435 Santa María Tepantlali" 40.84 54.4 1.91 15.99 21.44 58.09 12.28 100 81.25 435 "Santa María Tepantlali" "20435"
"1434" "436 Santa María Texcatitlán" 31.63 45.32 2.35 2.45 0.27 43.35 7.15 100 95.88 436 "Santa María Texcatitlán" "20436"
"1435" "437 Santa María Tlahuitoltepec" 28.17 40.64 4.57 18.72 48.44 52.24 27.21 100 67.73 437 "Santa María Tlahuitoltepec" "20437"
"1436" "438 Santa María Tlalixtac" 32.66 58.63 3.62 4.68 10.35 60.7 18.45 100 84.28 438 "Santa María Tlalixtac" "20438"
"1437" "439 Santa María Tonameca" 23.29 44.29 7.89 7.91 50.3 61.56 35.15 100 68.03 439 "Santa María Tonameca" "20439"
"1438" "440 Santa María Totolapilla" 27.95 46.91 1.45 3.13 0 34.42 4.35 100 81.05 440 "Santa María Totolapilla" "20440"
"1439" "441 Santa María Xadani" 30.76 57.4 5.39 3.3 2.88 55.96 2.05 2.16 50.03 441 "Santa María Xadani" "20441"
"1440" "442 Santa María Yalina" 16.98 38.11 0 0.85 0 42 25.42 100 90.35 442 "Santa María Yalina" "20442"
"1441" "443 Santa María Yavesía" 4.71 18.88 0 0.67 1.13 25.18 11.83 100 89.5 443 "Santa María Yavesía" "20443"
"1442" "444 Santa María Yolotepec" 9.09 28.13 0 31.81 59.69 49.57 47.49 100 88.89 444 "Santa María Yolotepec" "20444"
"1443" "445 Santa María Yosoyúa" 20.88 34.55 1.35 3.67 9.24 64.37 39.63 100 40.28 445 "Santa María Yosoyúa" "20445"
"1444" "446 Santa María Yucuhiti" 15.17 30.63 0.49 1.3 2.84 54.53 6.95 100 87.11 446 "Santa María Yucuhiti" "20446"
"1445" "447 Santa María Zacatepec" 22.04 46.41 3.09 1.97 5.16 51.12 24.53 100 84.01 447 "Santa María Zacatepec" "20447"
"1446" "448 Santa María Zaniza" 25.9 46.8 1.19 4.23 8.11 77.22 57.44 100 95.98 448 "Santa María Zaniza" "20448"
"1447" "449 Santa María Zoquitlán" 16.61 44.28 8.14 2.86 30.57 48.5 23.84 100 83.85 449 "Santa María Zoquitlán" "20449"
"1448" "450 Santiago Amoltepec" 31.86 57.71 0.36 23.57 77.07 74.23 41.72 100 89.82 450 "Santiago Amoltepec" "20450"
"1449" "451 Santiago Apoala" 40.2 57.72 1.9 5 55.8 34.42 20.27 100 94.93 451 "Santiago Apoala" "20451"
"1450" "452 Santiago Apóstol" 26.7 53.96 3.54 3.02 8.9 48.05 54.26 100 83.12 452 "Santiago Apóstol" "20452"
"1451" "453 Santiago Astata" 12.02 29.86 10.53 5.15 7.91 48.32 17.86 100 62.53 453 "Santiago Astata" "20453"
"1452" "454 Santiago Atitlán" 25.4 43.47 0.69 15.97 4.06 58.41 7.15 100 85.44 454 "Santiago Atitlán" "20454"
"1453" "455 Santiago Ayuquililla" 13.84 43.19 23.32 2.94 31.09 58.92 10.73 100 80.43 455 "Santiago Ayuquililla" "20455"
"1454" "456 Santiago Cacaloxtepec" 29.06 49.43 14.41 1.25 1.66 36.49 7.35 100 58.21 456 "Santiago Cacaloxtepec" "20456"
"1455" "457 Santiago Camotlán" 16.23 42.26 1.59 41.12 25.18 51.36 29.43 100 91.63 457 "Santiago Camotlán" "20457"
"1456" "458 Santiago Comaltepec" 16.09 33.57 0.45 0.45 0.72 30.26 26.19 100 84.19 458 "Santiago Comaltepec" "20458"
"1457" "459 Santiago Chazumba" 10.37 34.77 4.79 2.12 9.43 32.77 9.67 100 74.74 459 "Santiago Chazumba" "20459"
"1458" "460 Santiago Choápam" 20.66 50.63 0.93 9.49 34.91 52.66 25.65 100 86.82 460 "Santiago Choápam" "20460"
"1459" "461 Santiago del Río" 30.21 58 17.92 6 6.68 29.35 39.74 100 93.2 461 "Santiago del Río" "20461"
"1460" "462 Santiago Huajolotitlán" 9.82 30.11 5.58 1.16 7.97 39.8 7.93 100 64.38 462 "Santiago Huajolotitlán" "20462"
"1461" "463 Santiago Huauclilla" 15.04 47.16 3.77 4.83 24.74 32.73 34.99 100 84.76 463 "Santiago Huauclilla" "20463"
"1462" "464 Santiago Ihuitlán Plumas" 12.87 46.2 7.95 6.07 3.97 36.25 27.62 100 85.98 464 "Santiago Ihuitlán Plumas" "20464"
"1463" "465 Santiago Ixcuintepec" 18.05 42.86 4.91 2.93 1.47 52.74 20.73 100 91.41 465 "Santiago Ixcuintepec" "20465"
"1464" "466 Santiago Ixtayutla" 40.97 57.59 0.9 11.38 35.32 71.19 14.77 100 89.69 466 "Santiago Ixtayutla" "20466"
"1465" "467 Santiago Jamiltepec" 18.02 35.78 6.9 2.66 34.48 47.27 18.73 45.02 50.42 467 "Santiago Jamiltepec" "20467"
"1466" "468 Santiago Jocotepec" 24.15 52.14 0.81 4.86 33.93 52.03 23.87 100 84.32 468 "Santiago Jocotepec" "20468"
"1467" "469 Santiago Juxtlahuaca" 28.65 43.99 22.3 7.26 14.3 57.51 49.09 70.95 72.87 469 "Santiago Juxtlahuaca" "20469"
"1468" "470 Santiago Lachiguiri" 16.84 46.2 8.73 15.34 10.38 47.85 18.77 100 87.03 470 "Santiago Lachiguiri" "20470"
"1469" "471 Santiago Lalopa" 10.32 40.12 1.41 0 6.1 43.88 51.81 100 90.6 471 "Santiago Lalopa" "20471"
"1470" "472 Santiago Laollaga" 14.2 34.97 6.36 4.47 1 33.09 8.74 100 60.98 472 "Santiago Laollaga" "20472"
"1471" "473 Santiago Laxopa" 8.18 32.62 0.79 0.43 0.29 39.56 40.52 100 94.29 473 "Santiago Laxopa" "20473"
"1472" "474 Santiago Llano Grande" 21.5 37.72 11.99 3.45 5.2 43.8 16.95 100 66.88 474 "Santiago Llano Grande" "20474"
"1473" "475 Santiago Matatlán" 25.72 38.76 6.71 4.51 26.39 54.99 39.12 100 65.55 475 "Santiago Matatlán" "20475"
"1474" "476 Santiago Miltepec" 12.67 30.23 7.58 3.93 6.6 47.5 10.12 100 73.91 476 "Santiago Miltepec" "20476"
"1475" "477 Santiago Minas" 29.86 54.01 0.49 11.79 68.73 42.06 15.11 100 90.72 477 "Santiago Minas" "20477"
"1476" "478 Santiago Nacaltepec" 13.22 47.98 0.58 2.56 24.72 30 22.53 100 85.64 478 "Santiago Nacaltepec" "20478"
"1477" "479 Santiago Nejapilla" 13.04 50.54 2.28 2.3 0 32.91 28.31 100 96.74 479 "Santiago Nejapilla" "20479"
"1478" "480 Santiago Nundiche" 18.03 42.8 1.76 10.14 36.59 53.41 42.81 100 86.92 480 "Santiago Nundiche" "20480"
"1479" "481 Santiago Nuyoó" 18.66 29.3 0.71 2.73 6.66 39.35 48.47 100 82.35 481 "Santiago Nuyoó" "20481"
"1480" "482 Santiago Pinotepa Nacional" 17.06 32.14 16.01 2.28 54.73 49.2 17.57 41.16 56.29 482 "Santiago Pinotepa Nacional" "20482"
"1481" "483 Santiago Suchilquitongo" 4.8 20.01 1.47 2.83 34.41 47.58 13.3 23.75 41.21 483 "Santiago Suchilquitongo" "20483"
"1482" "484 Santiago Tamazola" 21.57 46.35 17.82 3.5 26.59 51.04 8.93 100 76.93 484 "Santiago Tamazola" "20484"
"1483" "485 Santiago Tapextla" 30.37 52.86 41.41 3.38 10.05 50.9 19.29 100 92.08 485 "Santiago Tapextla" "20485"
"1484" "486 Villa Tejúpam de la Unión" 10.57 30.24 5.84 1.42 9.49 52.07 18.3 100 70.1 486 "Villa Tejúpam de la Unión" "20486"
"1485" "487 Santiago Tenango" 5.88 22.61 2.27 3.91 18.02 53.17 26.58 100 64.54 487 "Santiago Tenango" "20487"
"1486" "488 Santiago Tepetlapa" 13.46 45.19 0.78 1.53 0 41.03 4.62 100 73.33 488 "Santiago Tepetlapa" "20488"
"1487" "489 Santiago Tetepec" 20.78 42.17 12.82 5.59 29.74 62.39 30.25 100 87.59 489 "Santiago Tetepec" "20489"
"1488" "490 Santiago Texcalcingo" 35.1 60.49 1.01 2.58 57.42 58.63 7.09 100 90.59 490 "Santiago Texcalcingo" "20490"
"1489" "491 Santiago Textitlán" 15.46 34.76 0.26 2.95 5.91 61.61 30.25 100 93.58 491 "Santiago Textitlán" "20491"
"1490" "492 Santiago Tilantongo" 23.3 43.25 5.15 12.8 43.55 47.24 40.66 100 84.89 492 "Santiago Tilantongo" "20492"
"1491" "493 Santiago Tillo" 8.37 26.83 0.9 1.63 26.22 32.42 12.84 100 71.36 493 "Santiago Tillo" "20493"
